q,lv2.1.6,lv2.1.9,lv2.2.11,lv2.2.12,lv2.2.2,lv2.2.3,lv2.2.6,lv3.1.26,lv4.1.6,lv4.2.11,lv4.2.8,lv4.2.9,lv4.4.14,lv4.4.1,lv4.4.2.17,lv4.4.3,lv6.1.1,lv6.2.12,lv6.2.18,lv6.2.20,lv6.2.5,lv6.4.12,lv6.4.17,lv6.4.1,lv6.5.2,lv6.5.4,lv6.6.11,lv6.6.19,lv6.6.1,lv6.6.20,lv7.1.1,lv7.3.18,lv7.3.19,lv7.3.24,lv7.3.25,lv7.3.3,lv7.3.5,lv7.3.7,lv7.3.8,lv10.2.12,lv13.2.12,lv13.2.3,lv13.2.9,lv13.3.10,lv13.3.3,lv13.3.4,lv13.3.9,lv14.1.10,lv14.1.11,lv14.1.13,lv14.1.18,lv14.1.23,lv18.1.4,lv18.2.12,lv18.2.3,lv18.2.4,lv18.2.6,lv18.3.10,lv18.3.11,lv18.3.5,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv13,lv14,lv15,lv16,lv17,lv18,lv26,lv31,lv32,lv33,lv39,lv45,lv60,lv63,lv64,lv66,lv73,lv79,lv81,lv96,lv97,lv99,lv103,lv109,lv111,lv113,lv115,lv116,lv121,lv125,lv153,lv154,lv157,lv160,lv167,lv170
0,1.320445927,1.438311801,1.493060753,1.372265434,1.330960999,1.438041963,1.34935079,1.271043981,1.444815009,1.454898308,1.419224253,1.439162184,1.442301671,1.438751235,1.49287477,1.441547987,1.322112904,1.450563738,1.38970192,1.469780171,1.523248687,1.383323577,1.484841534,1.490623397,1.316124246,1.439345042,1.228043706,1.312992377,1.180031363,1.360152224,1.269514262,1.400942575,1.429016889,1.297674233,1.466618365,1.324308437,1.276810265,1.424235205,1.226401511,1.133383108,1.347890783,1.442471386,1.397335369,1.41563374,1.423676947,1.357896051,1.39893685,1.241660481,1.21670545,1.425060544,1.080902648,1.271908881,1.415049233,1.451205541,1.243617978,1.457150823,1.437875319,1.278346924,1.221039135,1.401664264,1.154556658,1.159414747,1.12163349,1.140248773,1.131891512,1.137904617,1.149593332,1.118023495,1.141982701,1.254717814,1.172149372,1.137702293,1.190999785,1.157558922,1.170001445,1.169385613,1.179243061,1.21395633,1.194521731,1.181502528,1.278299283,1.183598041,1.181234359,1.226020024,1.17769466,1.149847973,1.200225085,1.132560086,1.109755787,1.175365602,1.19248273,1.209060197,1.190726032,1.210074219,1.288748675,1.155625809,1.268458462,1.235450285,1.198671119,1.18557665,1.154267878,1.209767766,1.326297948,1.200032531,1.18831394
0.11,1.3140792,1.431411308,1.490928306,1.367124011,1.32579433,1.434609067,1.345184322,1.265140399,1.443525582,1.451379401,1.414531802,1.435033657,1.441041325,1.436987863,1.490757195,1.439488726,1.315907524,1.447852526,1.384985828,1.466673803,1.520916708,1.377669275,1.483361685,1.487544625,1.309756803,1.434945176,1.222791566,1.306014174,1.175156826,1.353016932,1.263644626,1.396525404,1.425924506,1.292411301,1.464124325,1.319871102,1.271041402,1.422724374,1.221777147,1.129500481,1.343873535,1.441238571,1.392623062,1.410992272,1.419410732,1.352883838,1.392677396,1.236405021,1.211689015,1.422532294,1.078194339,1.266319782,1.412034432,1.448128191,1.23826274,1.453847927,1.433919037,1.273767456,1.215728087,1.398148935,1.15042074,1.154802074,1.11796176,1.136175253,1.127977176,1.13403639,1.145153956,1.114257904,1.137947033,1.249031242,1.167501065,1.133477429,1.185892602,1.152923162,1.165268678,1.164990297,1.174359469,1.20866255,1.189113157,1.176408602,1.271947863,1.178291533,1.176049659,1.220206691,1.172646802,1.145357278,1.194869786,1.128799835,1.106462655,1.170564727,1.187041976,1.203670897,1.18621487,1.204550339,1.282898815,1.151090342,1.262266338,1.229758964,1.193398108,1.180997694,1.150082064,1.204792773,1.319726019,1.194980827,1.183327973
0.22,1.307911142,1.424663334,1.488854449,1.362100992,1.320762821,1.431237636,1.341111735,1.259443451,1.442273788,1.447929231,1.409932764,1.430985312,1.43981761,1.435261991,1.488686274,1.437475445,1.309890644,1.445203218,1.380375585,1.463634473,1.518654688,1.3721515,1.481937223,1.484534413,1.303586622,1.430636651,1.217739623,1.299274378,1.1705019,1.346086594,1.257977301,1.392195969,1.422881794,1.287298905,1.461676856,1.315536743,1.265463853,1.421245693,1.217313604,1.125809381,1.339946119,1.440044577,1.388013569,1.406445035,1.415230597,1.347992553,1.386559998,1.231339092,1.206866712,1.420058138,1.075644902,1.26091659,1.409073342,1.445110933,1.233104163,1.450614262,1.430036645,1.269315934,1.210628584,1.39470058,1.146481021,1.150419278,1.114483767,1.132308701,1.124264521,1.130358823,1.140941517,1.110700593,1.134111597,1.243551001,1.163071561,1.129473788,1.181018129,1.148517478,1.160762566,1.160792728,1.169700745,1.203590001,1.183950683,1.171556877,1.265827408,1.173242113,1.171112828,1.214635876,1.167834986,1.141095436,1.189755494,1.125230312,1.103344572,1.165991489,1.181857474,1.198515109,1.181894847,1.199270264,1.277254013,1.146780623,1.256307146,1.224300621,1.188358408,1.176617197,1.146097132,1.200023848,1.313372551,1.190146958,1.178567848
0.33,1.301940149,1.418070114,1.486837222,1.357196447,1.315865853,1.427927083,1.337132386,1.253949984,1.441057959,1.444546747,1.405427181,1.427016598,1.43862889,1.433572337,1.486660584,1.435506624,1.304060951,1.442614011,1.375870639,1.46066067,1.51646023,1.366770209,1.480565824,1.481591114,1.297612588,1.42641874,1.212883416,1.29277057,1.166059236,1.339361694,1.252509491,1.387954286,1.419888385,1.282336103,1.459274963,1.311305217,1.260075374,1.419797944,1.213007812,1.122301758,1.336107828,1.438887769,1.383506519,1.401991972,1.411136009,1.343221799,1.38058619,1.226459076,1.202233896,1.417636549,1.073245087,1.255696889,1.40616525,1.442152611,1.228138127,1.447448371,1.426227705,1.264991341,1.205735317,1.391318595,1.142729421,1.146256581,1.111190087,1.128639708,1.120744216,1.126863556,1.136945924,1.107340842,1.130467618,1.238273304,1.15885232,1.125681148,1.176368194,1.144332377,1.156474177,1.156785725,1.16525881,1.198732255,1.179026271,1.166938217,1.259934134,1.168439987,1.166414617,1.209301261,1.163250871,1.137052447,1.184874124,1.121842591,1.100392711,1.161637097,1.176920085,1.193585638,1.177759488,1.194226241,1.271810443,1.14268714,1.25057638,1.219068949,1.183544545,1.17242836,1.142304702,1.195454692,1.307234761,1.185524012,1.174025622
0.44,1.296164109,1.41163337,1.484874714,1.352410204,1.311102532,1.424676799,1.333245525,1.248656386,1.439876501,1.441230887,1.401014954,1.423126903,1.437473602,1.431917671,1.484678743,1.433580793,1.298416655,1.440083148,1.371470293,1.457750896,1.514330997,1.361525068,1.47924525,1.478713098,1.291833024,1.422290635,1.208218158,1.286499655,1.161821309,1.332842011,1.247237925,1.383800241,1.416943896,1.27752161,1.456917664,1.307176187,1.254873264,1.418379968,1.208856453,1.118969618,1.332357861,1.43776658,1.379101389,1.397632885,1.407126355,1.338570956,1.374757074,1.221761019,1.197785644,1.415266047,1.070986059,1.25065785,1.403309443,1.439252081,1.223360197,1.444348813,1.422491721,1.260792409,1.201042671,1.388002337,1.139157926,1.142304257,1.108071519,1.125159015,1.117407093,1.123542349,1.133157187,1.104168225,1.12700643,1.233193954,1.154834784,1.122089433,1.171934479,1.140358368,1.15239455,1.152962054,1.161025471,1.194082634,1.174331625,1.162543384,1.254263719,1.163875231,1.161945642,1.20419613,1.15888595,1.133218388,1.180217392,1.118627939,1.09759851,1.157492707,1.172220472,1.188875038,1.173802251,1.189410262,1.266563906,1.138800418,1.245069042,1.214057316,1.178948814,1.168424298,1.138696463,1.191078841,1.301309348,1.181104886,1.169693228
0.55,1.29058045,1.405354327,1.482965065,1.347741856,1.306471707,1.421486149,1.329450297,1.243558645,1.438727894,1.437980585,1.396695853,1.419315553,1.436350254,1.430296811,1.482739408,1.431696535,1.292955523,1.437608919,1.367173717,1.454903669,1.512264712,1.356415464,1.477973354,1.475898753,1.28624574,1.418251451,1.203738787,1.280457928,1.15778049,1.32652666,1.242158916,1.379733598,1.414047933,1.272853823,1.454603995,1.303149139,1.24985441,1.416990655,1.204855992,1.115805076,1.328695324,1.436679504,1.374797517,1.393367441,1.403200947,1.334039193,1.369073332,1.217240672,1.193516803,1.412945196,1.068859402,1.245796273,1.400505203,1.436408214,1.218765675,1.441314161,1.418828144,1.256717642,1.196544788,1.384751132,1.135758626,1.138552695,1.105119125,1.121857559,1.114244192,1.120387121,1.129565475,1.101172648,1.123719531,1.228308406,1.151010436,1.118688771,1.16770859,1.136586032,1.148514762,1.149314479,1.156992489,1.189634272,1.169858273,1.158363114,1.248811368,1.159537882,1.157696468,1.199313448,1.154731621,1.12958347,1.17577689,1.115577855,1.094953695,1.153549495,1.16774919,1.184375684,1.170016567,1.184814148,1.261509884,1.135111084,1.23977971,1.209258839,1.174563357,1.164598095,1.135264219,1.186889711,1.295592549,1.176882354,1.165562536
0.66,1.28518618,1.399233732,1.481106466,1.343190778,1.301971986,1.418354482,1.325745752,1.238652402,1.437610689,1.434794769,1.392469517,1.415581819,1.435257428,1.428708619,1.480841276,1.429852486,1.287674928,1.43518966,1.362979951,1.452117525,1.510259164,1.351440524,1.47674807,1.473146489,1.280848079,1.414300231,1.199440025,1.274641149,1.153929104,1.320414146,1.237268413,1.375754001,1.411200091,1.268330854,1.452333013,1.299223383,1.24501534,1.415628948,1.201002721,1.112800386,1.325119239,1.435625102,1.370594109,1.389195178,1.399359021,1.329625482,1.363535243,1.212893547,1.189422045,1.410672604,1.066857121,1.241108633,1.397751817,1.433619895,1.214349646,1.438343008,1.41523637,1.252765336,1.192235621,1.381564274,1.132523754,1.134992451,1.102324253,1.118726506,1.111246795,1.117389981,1.126161168,1.09834438,1.120598608,1.223611819,1.147370851,1.115469532,1.163682125,1.133006077,1.144825979,1.145835808,1.153151632,1.185380179,1.165597648,1.154388181,1.24357189,1.15541801,1.153657684,1.194645941,1.150779257,1.126138091,1.171544156,1.11268409,1.0924503,1.149798708,1.163496765,1.180079841,1.166395884,1.180429619,1.25664359,1.131609914,1.234702616,1.204666452,1.17038023,1.160942845,1.131999927,1.182880659,1.290080198,1.172849126,1.161625416
0.77,1.279977942,1.393271874,1.479297161,1.338756138,1.297601764,1.415281126,1.322130848,1.233933003,1.436523506,1.431672364,1.388335463,1.41192492,1.43419377,1.427152007,1.478983084,1.428047331,1.282571886,1.432823757,1.358887918,1.44939102,1.508312201,1.346599132,1.475567417,1.470454743,1.27563697,1.410435951,1.195316425,1.269044609,1.150259484,1.314502407,1.232562056,1.371860982,1.40839995,1.263950551,1.45010379,1.295398072,1.240352268,1.414293839,1.197292782,1.109947978,1.321628553,1.434601994,1.366490245,1.385115511,1.395599747,1.325328613,1.358142703,1.208714958,1.185495907,1.408446924,1.064971633,1.236591129,1.395048566,1.430886025,1.210107023,1.435433966,1.411715751,1.248933597,1.18810899,1.378441029,1.12944572,1.131614288,1.099678558,1.115757285,1.108406451,1.114543258,1.122934893,1.095674069,1.117635574,1.219099113,1.143907738,1.112422368,1.159846728,1.129609386,1.141319506,1.14251893,1.149494733,1.181313297,1.16154115,1.150609458,1.23853976,1.151505783,1.149819957,1.190186167,1.147020268,1.122872878,1.167510734,1.109938671,1.090080677,1.146231718,1.159453762,1.175979725,1.162933702,1.176248363,1.251960023,1.128287883,1.22983171,1.20027297,1.16639146,1.157451693,1.12889573,1.179045019,1.284767783,1.168997893,1.157873787
0.88,1.274952052,1.387468607,1.477535444,1.334436914,1.293359231,1.412265392,1.318604462,1.229395554,1.435465026,1.428612296,1.384293093,1.408344025,1.433157992,1.42562593,1.477163606,1.426279804,1.277643099,1.430509641,1.354896432,1.446722732,1.506421739,1.341889943,1.474429494,1.467821976,1.270608974,1.406657525,1.191362417,1.263663197,1.14676402,1.308788873,1.228035223,1.368053964,1.405647081,1.259710531,1.447915417,1.291672211,1.235861141,1.412984367,1.193722204,1.107240485,1.318222139,1.43360886,1.362484892,1.381127741,1.391922229,1.321147208,1.352895248,1.204700063,1.18173284,1.406266853,1.063195767,1.232239721,1.392394736,1.428205521,1.206032591,1.432585666,1.408265588,1.245220367,1.18415863,1.375380635,1.12651713,1.128409217,1.097174019,1.112941607,1.105715,1.111839515,1.11987756,1.093152762,1.114822589,1.214765016,1.140612978,1.109538239,1.156194136,1.126387056,1.137986829,1.139356846,1.146013731,1.177426547,1.157680214,1.147017965,1.233709182,1.147791527,1.146174096,1.185926578,1.143446155,1.119778723,1.163668229,1.107333917,1.087837501,1.142840057,1.155610844,1.172067556,1.159623598,1.172262085,1.247454009,1.125136194,1.225160726,1.196071141,1.162589106,1.154117865,1.125943982,1.175376146,1.279650498,1.165321379,1.154299662
0.99,1.270104548,1.381823374,1.475819662,1.330231904,1.289242405,1.409306575,1.315165394,1.225034969,1.434433998,1.42561349,1.380341698,1.404838258,1.432148868,1.424129384,1.475381658,1.424548691,1.272884999,1.428245793,1.351004206,1.444111264,1.504585755,1.337311404,1.473332478,1.465246678,1.265760331,1.402963813,1.187572351,1.258491468,1.143435195,1.303270514,1.223683085,1.364332272,1.402941043,1.255608205,1.445767005,1.288044665,1.231537681,1.411699616,1.190286931,1.104670756,1.314898808,1.432644434,1.358576908,1.377231061,1.388325514,1.317079737,1.347792072,1.200843904,1.178127241,1.404131129,1.061522749,1.228050176,1.389789611,1.425577315,1.202121042,1.429796764,1.404885142,1.241623438,1.18037823,1.372382305,1.12373081,1.125368522,1.094802944,1.110271485,1.103164587,1.109271571,1.116980381,1.090771907,1.112152075,1.210604111,1.137478652,1.106808436,1.152716219,1.12333043,1.134819644,1.136342701,1.142700711,1.173712873,1.154006355,1.143604908,1.229074152,1.144265771,1.142711085,1.181859582,1.140048549,1.116846812,1.160008352,1.104862448,1.085713776,1.139615458,1.151958826,1.168335609,1.15645926,1.168462566,1.243120248,1.122146311,1.220683238,1.192053702,1.158965296,1.150934701,1.123137268,1.171867453,1.274723297,1.16181238,1.150895188
1.1,1.265431236,1.37633524,1.474148216,1.326139743,1.28524914,1.406403955,1.311812376,1.220846011,1.433429225,1.422674875,1.376480467,1.4014067,1.43116523,1.42266141,1.473636092,1.422852819,1.268293781,1.42603074,1.347209859,1.44155524,1.502802291,1.332861772,1.472274623,1.462727366,1.26108701,1.399353623,1.183940537,1.253523703,1.140265624,1.297943893,1.219500641,1.360695136,1.400281384,1.251640804,1.443657685,1.284514176,1.227377429,1.410438713,1.186982846,1.10223188,1.31165731,1.431707509,1.354765057,1.373424564,1.384808593,1.31312453,1.342832057,1.197141446,1.174673493,1.402038534,1.059946194,1.224018102,1.387232478,1.423000358,1.198367015,1.427065938,1.401573634,1.238140478,1.176761481,1.36944523,1.121079821,1.12248378,1.092557981,1.107739241,1.100747669,1.106832508,1.114234897,1.088523359,1.109616734,1.20661088,1.134497066,1.104224591,1.149405018,1.120431123,1.131809883,1.133469801,1.139547932,1.170165282,1.150511216,1.140361717,1.224628508,1.140919285,1.139422131,1.177977593,1.136819253,1.114068639,1.156522957,1.102517191,1.083702834,1.136549878,1.148488715,1.164776249,1.153434504,1.164841699,1.238953351,1.119309983,1.216392714,1.18821342,1.155512276,1.147895678,1.120468424,1.168512435,1.269980941,1.158463794,1.147652678
1.21,1.260927721,1.371002912,1.472519554,1.322158918,1.281377151,1.4035568,1.308544077,1.216823337,1.432449573,1.419795381,1.372708494,1.398048394,1.430205968,1.421221085,1.471925799,1.421191067,1.263865448,1.423863056,1.343511932,1.439053314,1.501069453,1.328539133,1.471254257,1.460262589,1.256584747,1.395825719,1.180461277,1.248753966,1.137248078,1.292805218,1.215482769,1.357141695,1.39766764,1.247805409,1.441586604,1.281079371,1.223375784,1.409200826,1.1838058,1.099917194,1.308496345,1.430796929,1.351048009,1.36970725,1.381370408,1.309279794,1.338013793,1.193587606,1.171365994,1.399987891,1.058460087,1.220138989,1.384722623,1.420473618,1.194765124,1.424391888,1.398330247,1.234769045,1.173302103,1.36656858,1.118557469,1.11974688,1.090432115,1.105337516,1.098457029,1.10451568,1.111632981,1.086399376,1.107209551,1.202779743,1.131660771,1.101778691,1.146252769,1.11768104,1.128949738,1.130731639,1.136547857,1.166776877,1.147186607,1.13728007,1.220365984,1.137743108,1.136298686,1.174273074,1.133750271,1.111436029,1.153204078,1.100291383,1.081798332,1.133635521,1.145191743,1.161381973,1.150543292,1.161391529,1.23494788,1.116619253,1.212282565,1.18454313,1.152222435,1.144994431,1.117930542,1.165304702,1.265418047,1.155268655,1.144564638
1.32,1.256589457,1.365824775,1.47093218,1.318287781,1.277624034,1.400764364,1.30535911,1.212961536,1.431493957,1.416973946,1.369024783,1.394762347,1.429270025,1.419807527,1.470249708,1.419562353,1.259595839,1.421741363,1.339908887,1.436604163,1.499385409,1.324341416,1.470269779,1.457850928,1.252249092,1.392378823,1.177128895,1.244176161,1.134375514,1.287850395,1.21162426,1.35367101,1.395099338,1.24409897,1.439552931,1.277738775,1.219528036,1.407985163,1.180751629,1.09772029,1.305414566,1.429911587,1.347424359,1.366078032,1.378009855,1.305543625,1.333335603,1.190177285,1.168199183,1.397978062,1.057058773,1.216408237,1.382259335,1.41799608,1.191309989,1.421773341,1.39515413,1.231506603,1.169993878,1.363751505,1.116157313,1.117150032,1.088418666,1.103059275,1.096285767,1.102314718,1.109166851,1.084392615,1.104923804,1.199105093,1.128962574,1.09946308,1.14325193,1.115072392,1.126231674,1.128121901,1.133693171,1.163540883,1.144024532,1.134351914,1.216280256,1.134728578,1.133332473,1.170738581,1.130833836,1.108941139,1.150043952,1.09817857,1.079994245,1.130864855,1.142059401,1.158145432,1.147779749,1.158104282,1.231098375,1.114066477,1.20834619,1.18103577,1.149088341,1.142224765,1.115516981,1.162237996,1.261029123,1.152220155,1.141623783
1.43,1.252411775,1.360798918,1.469384643,1.314524565,1.273987278,1.398025892,1.302256041,1.209255162,1.430561349,1.414209513,1.365428256,1.391547535,1.428356395,1.418419893,1.468606781,1.41796564,1.25548067,1.419664327,1.336399122,1.434206493,1.497748388,1.320266415,1.469319657,1.455490993,1.248075445,1.389011623,1.173937768,1.239784076,1.131641088,1.283075068,1.207919855,1.350282066,1.392575994,1.240518331,1.437555853,1.274490821,1.215829404,1.40679097,1.177816177,1.095635023,1.302410585,1.429050429,1.343892626,1.362535748,1.374725789,1.301914024,1.328795572,1.186905394,1.165167567,1.396007949,1.055736942,1.212821191,1.379841907,1.415566745,1.187996264,1.419209046,1.3920444,1.228350546,1.166830677,1.36099314,1.113873172,1.114685773,1.086511286,1.100897801,1.09422731,1.100223529,1.106829073,1.082496125,1.102753063,1.195581327,1.126395549,1.097270457,1.140395196,1.112597699,1.12364844,1.125634484,1.130976796,1.160450673,1.141017218,1.131569481,1.212364978,1.131867343,1.130515502,1.16736679,1.128062422,1.10657647,1.147035041,1.096172605,1.078284859,1.128230625,1.139083453,1.155059461,1.145138174,1.15497239,1.227399389,1.111644325,1.204577008,1.177684409,1.146102757,1.139580673,1.113221372,1.159306212,1.256808614,1.149311663,1.13882306
1.54,1.248389921,1.355923163,1.467875547,1.310867395,1.270464288,1.395340618,1.29923339,1.205698766,1.429650768,1.41150103,1.361917763,1.388402904,1.427464124,1.417057371,1.466996019,1.416399934,1.25151556,1.417630659,1.33298098,1.431859038,1.496156682,1.316311805,1.468402426,1.453181429,1.244059097,1.385722775,1.170882344,1.235571435,1.129038172,1.278474672,1.204364274,1.346973779,1.390097115,1.237060255,1.435594574,1.271333862,1.212275063,1.405617528,1.174995313,1.093655508,1.29948298,1.428212444,1.34045127,1.359079165,1.371517028,1.298388906,1.324391569,1.183766879,1.162265737,1.394076494,1.054489607,1.209373167,1.377469632,1.413184635,1.184818654,1.416697779,1.389000149,1.225298207,1.163806484,1.358292605,1.111699122,1.11234697,1.084703952,1.098846699,1.092275399,1.098236297,1.104612557,1.080703332,1.100691188,1.192202876,1.123953045,1.095193879,1.137675513,1.110249802,1.121193076,1.123263502,1.128391904,1.157499784,1.138157132,1.128925299,1.208613824,1.129151377,1.127840086,1.164150532,1.125428767,1.104334864,1.144170052,1.094267642,1.076664765,1.125725858,1.136255957,1.152117095,1.142613048,1.151988508,1.223845508,1.10934579,1.200968501,1.17448227,1.143258664,1.137056345,1.111037618,1.15650341,1.252750932,1.146536742,1.136155658
1.65,1.244519083,1.351195096,1.466403539,1.307314306,1.267052396,1.39270777,1.296289643,1.202286924,1.428761283,1.408847456,1.358492084,1.385327375,1.426592301,1.415719188,1.465416457,1.414864277,1.247696063,1.415639114,1.32965275,1.429560559,1.494608641,1.312475158,1.467516685,1.450920912,1.240195256,1.38251091,1.167957168,1.231531934,1.126560368,1.274044473,1.200952247,1.343745005,1.3876622,1.23372144,1.433668321,1.268266179,1.208860174,1.404464152,1.172284947,1.091776125,1.2966303,1.427396669,1.33709869,1.355706983,1.368382359,1.294966119,1.32012127,1.180756741,1.159488392,1.392182672,1.053312095,1.206059474,1.375141806,1.410848788,1.181771939,1.41423834,1.386020439,1.222346876,1.16091541,1.355649005,1.109629501,1.110126817,1.082990958,1.096899889,1.09042409,1.096347476,1.102510558,1.079008035,1.09873233,1.188964228,1.121628687,1.093226752,1.135086085,1.108021861,1.118858915,1.121003287,1.125931925,1.154681936,1.135436996,1.126412199,1.205020518,1.126572985,1.125298846,1.161082811,1.122925878,1.102209502,1.141441944,1.092458131,1.075128846,1.12334387,1.133569275,1.149311587,1.140199041,1.149145533,1.220431381,1.10716418,1.197514235,1.17142275,1.140549272,1.13464617,1.108959893,1.153823828,1.248850487,1.143889159,1.133615015
